original_index,is_outlier,begruendung,zielspalten_bewertet
177,True,"Ein kostenloses Brillenangebot mit sehr hohem Engagement (92 Antworten, 25.370 Aufrufe) aber exakt 0 Votes ist ungewöhnlich. Bei dieser Reichweite und Diskussionsintensität wäre normalerweise eine deutliche Bewertung (positiv oder negativ) zu erwarten, die Diskrepanz deutet auf eine Anomalie hin.","['replies', 'views', 'votes']"
178,False,"Das Engagement ist für einen Küchengeräte-Deal im Wert von ca. 200 USD plausibel: 17.733 Views zeigen gutes Interesse an einem beliebten Markenprodukt (Ninja Foodi), 67 Replies deuten auf Diskussionen zu Preis-Leistung oder Vergleichen hin, und 15 positive Votes entsprechen einer moderaten positiven Bewertung. Die Werte stehen in einem nachvollziehbaren Verhältnis zueinander.","['replies', 'views', 'votes']"
179,False,"Ein Küchengerät (Air Fryer Oven) für $199.99 mit Promo-Code ist ein attraktives Angebot in der Appliances-Kategorie. Die 67 Antworten, 17.735 Views und 15 positive Votes sind für ein beliebtes Haushaltsgerät mit gutem Preis-Leistungs-Verhältnis im erwartbaren Rahmen und zeigen normales Engagement.","['replies', 'views', 'votes']"
180,False,"Das Engagement (7 Antworten, 2293 Aufrufe, 3 Votes) ist für einen Deal mit zwei praktischen Produkten (Motorbehandlung und Klebeband) bei 44% Ersparnis plausibel. Die moderate Interaktion passt zu einem nützlichen, aber nicht spektakulären Angebot, das eine gewisse Reichweite erzielt hat.","['replies', 'views', 'votes']"
181,False,"Ein bekanntes AAA-Spiel (Battlefield V) zu einem stark reduzierten Preis von $9.96 bei einem großen Händler wie Walmart rechtfertigt das beobachtete Engagement (2455 Views, 11 Replies, 2 Votes) vollständig. Die hohe Anzahl an Views bei moderaten Replies und Votes ist typisch für attraktive Gaming-Deals, die viele Interessenten anziehen, aber nicht zwingend intensive Diskussionen auslösen.","['replies', 'views', 'votes']"
182,True,"Ein Smartphone-Deal mit 95 Antworten und 17.436 Aufrufen, aber 0 Votes ist deutlich ungewöhnlich. Bei diesem hohen Engagement-Level (viele Diskussionen und Views) wäre normalerweise eine signifikante Anzahl an Votes (positiv oder negativ) zu erwarten, da Nutzer typischerweise auch abstimmen, wenn sie sich so intensiv mit einem Deal auseinandersetzen.","['replies', 'views', 'votes']"
183,False,"Ein Kreditkartenangebot mit 100.000 Bonuspunkten ist sehr attraktiv und rechtfertigt das hohe Engagement (874 Antworten, 140k Views, 164 Votes). Finanzprodukte mit substanziellen Willkommensboni erzeugen typischerweise intensive Diskussionen über Bedingungen, Strategien und Erfahrungen, was die Werte im erwartbaren Rahmen hält.","['replies', 'views', 'votes']"
184,True,"917 Views bei nur 2 Replies und 0 Votes ist für ein einfaches Papier-Angebot (Office Supplies, $4.99) ungewöhnlich hoch. Solch alltägliche Büroartikel generieren typischerweise deutlich weniger Aufrufe, wenn sie kaum Engagement (Antworten/Votes) erzeugen.","['replies', 'views', 'votes']"
185,True,"Ein kostenloses AAA-Videospiel (100% Ersparnis) mit sehr hohem Engagement (517 Antworten, fast 80.000 Aufrufe) sollte normalerweise deutlich positive Votes erhalten. 0 Votes bei diesem Engagement-Level ist im Kontext eines attraktiven Gratis-Angebots extrem ungewöhnlich und deutet auf eine Anomalie hin.","['replies', 'views', 'votes']"
186,False,"Ein 65%-Rabatt auf verschreibungspflichtige Brillen ist ein attraktives Angebot, das Interesse weckt. Die 11.803 Views, 61 Antworten und 15 Votes sind im Kontext eines wertvollen Gesundheits-/Brillendeals mit hoher Ersparnis plausibel und nicht ungewöhnlich.","['replies', 'views', 'votes']"
187,False,"Ein Rabatt von bis zu $150 auf Haushaltsgeräte (Shark-Reinigungsprodukte) in der Kategorie Home & Garden rechtfertigt plausibel 5586 Views, 32 Antworten und 8 positive Votes. Das Engagement entspricht einem durchschnittlich interessanten Deal mit moderater Community-Beteiligung.","['replies', 'views', 'votes']"
188,True,"Das Engagement ist für einen Pricing-Error-Deal zu U-Haul-Anhängerkupplungen extrem hoch (442 Antworten, 96k Views), während die Votes mit 106 vergleichsweise niedrig ausfallen. Solche Pricing-Errors erzeugen typischerweise hohe Aufmerksamkeit, aber das Missverhältnis zwischen der enormen Diskussionsaktivität und den relativ moderaten Votes ist im Kontext ungewöhnlich auffällig.","['replies', 'views', 'votes']"
189,True,"Ein hochwertiger Harman Kardon Bluetooth-Speaker mit 65% Rabatt (380$ Ersparnis) bei einem bekannten Händler wie Best Buy sollte deutlich mehr positive Votes generieren. 6982 Views und 18 Replies zeigen starkes Interesse, aber nur 1 Vote ist im Verhältnis dazu extrem niedrig und passt nicht zum attraktiven Deal-Kontext.","['replies', 'views', 'votes']"
190,False,"Ein Valentino-Warehouse-Sale mit bis zu 80% Rabatt ist ein attraktives Luxus-Angebot, das 911 Views plausibel erklärt. Die 3 Antworten und -3 Votes (möglicherweise aufgrund von Skepsis gegenüber dem Anbieter oder Verfügbarkeit) liegen im normalen Rahmen für solche Fashion-Deals.","['replies', 'views', 'votes']"
191,True,"Bei einem günstigen Audio-Deal mit deutlicher Ersparnis ($23 off) und sehr hohem Engagement (132 Antworten, 28.905 Aufrufe) ist ein votes-Wert von exakt 0 extrem ungewöhnlich. Die intensive Diskussion und hohe Reichweite lassen normalerweise deutliche positive oder negative Bewertungen erwarten.","['replies', 'views', 'votes']"
192,False,"Das Engagement ist für diesen Kontext plausibel: Eine Indoor-Kamera mit 2K-Auflösung und Pan/Tilt-Funktion für $60 (nach $20 Rabatt) ist ein attraktives Elektronik-Angebot. Die 3070 Views, 19 Replies und 8 Votes passen zu einem soliden Deal im Bereich Computers & Electronics, der Interesse weckt aber nicht außergewöhnlich viral geht.","['replies', 'views', 'votes']"
193,False,"Ein wöchentlicher Costco-Flyer für westkanadische Provinzen in der Kategorie 'Groceries' mit 23.374 Views, 71 Antworten und 120 Votes zeigt ein hohes, aber für regelmäßige Flyer-Threads mit breiter regionaler Reichweite typisches Engagement. Solche wiederkehrenden Übersichts-Threads werden von vielen Nutzern zur Planung genutzt und generieren erwartungsgemäß starke Interaktion.","['replies', 'views', 'votes']"
194,False,"Ein hochwertiger 4K-Monitor von Dell für 740$ in der Kategorie Computers & Electronics zeigt mit 27 Antworten und 4578 Aufrufen ein plausibles Engagement-Niveau für ein technisches Produkt im mittleren bis höheren Preissegment. Die niedrigen Votes (2) bei gleichzeitig hoher Diskussionsaktivität deuten auf ein gemischtes oder neutrales Interesse hin, was bei diesem Preispunkt ohne ausgewiesene Ersparnis nachvollziehbar ist.","['replies', 'views', 'votes']"
195,False,"Das Engagement ist für diesen Kontext plausibel: Ein beliebtes Bluetooth-Headset von Anker mit 23% Rabatt bei Amazon.ca kann durchaus 6155 Views, 23 Replies und 10 positive Votes generieren, da es sich um ein bekanntes Produkt im mittleren Preissegment mit solider Ersparnis handelt.","['replies', 'views', 'votes']"
196,True,"Ein Deal für Spülmaschinentabs mit 4509 Views und 44 Antworten, aber 0 Votes ist ungewöhnlich. Bei diesem Engagement-Level wäre normalerweise eine deutlich positive oder negative Vote-Zahl zu erwarten, da aktive Nutzer typischerweise auch abstimmen.","['replies', 'views', 'votes']"
197,True,"Die Anzahl der Antworten (1070) ist im Verhältnis zu den Views (286662) und Votes (156) extrem ungewöhnlich hoch. Typischerweise liegt das Verhältnis von Replies zu Views bei unter 1%, hier sind es jedoch etwa 0,37%, was zwar niedrig klingt, aber 1070 Antworten für einen Mobilfunktarif-Deal sind außergewöhnlich viele und deuten auf eine anomale Diskussionsintensität hin, die selbst für kontroverse oder sehr attraktive Angebote ungewöhnlich ist.","['replies', 'views', 'votes']"
198,True,"Die Anzahl der Antworten (594) ist im Verhältnis zu den Votes (33) extrem hoch und ungewöhnlich. Bei über 211.000 Views und fast 600 Antworten wären deutlich mehr Votes zu erwarten, was auf eine starke Diskrepanz im Engagement-Muster hindeutet.","['replies', 'views', 'votes']"
199,False,"Ein 27-Zoll Gaming-Monitor mit 144Hz und 1ms Reaktionszeit für ~460 CAD ist ein attraktives Technik-Angebot, das plausibel 5782 Views, 37 Replies und 7 positive Votes generieren kann. Das Engagement-Niveau passt zum Kontext eines interessanten Elektronik-Deals auf Amazon.ca.","['replies', 'views', 'votes']"
200,False,"Ein 13-teiliges Edelstahl-Kochgeschirr-Set für $299.99 von Costco ist ein substanzielles Haushaltsangebot, das durchaus Interesse wecken kann. Die 3254 Views und 19 Antworten zeigen moderates Engagement, während der leicht negative Vote-Wert (-1) auf gemischte Meinungen hindeutet – alles im erwartbaren Rahmen für ein mittelpreisiges Home & Garden Produkt.","['replies', 'views', 'votes']"
201,False,"Das Engagement ist für diesen Kontext plausibel: Ein lokales Masken-Angebot (Toronto) während vermutlich der Pandemie-Zeit mit 12 Antworten, 5001 Views und 10 positiven Votes zeigt normales Interesse an einem praktischen Gesundheitsprodukt. Die Werte passen zum Thema und zur lokalen Reichweite.","['replies', 'views', 'votes']"
202,True,"Bei 7935 Views und 20 Replies würde man deutlich mehr als nur 1 Vote erwarten. Das Engagement durch Aufrufe und Diskussion ist hoch, aber die Bewertung durch Votes ist im Verhältnis dazu extrem niedrig und ungewöhnlich für einen aktiv diskutierten Deal.","['replies', 'views', 'votes']"
203,True,"Das Verhältnis von 64 Antworten und 13.632 Aufrufen zu nur 2 Votes ist für ein Amazon Fire HD 8 Tablet-Angebot deutlich ungewöhnlich. Bei diesem Engagement-Level (hohe Diskussionsaktivität und sehr hohe Reichweite) wäre normalerweise eine wesentlich höhere Vote-Anzahl zu erwarten, was auf eine Anomalie hindeutet.","['replies', 'views', 'votes']"
204,False,"Ein Mobilfunkvertrag mit kostenlosem Samsung A71 (Wert ~$600) für $65/Monat ist ein attraktives Angebot, das hohes Interesse rechtfertigt. Die 12.003 Views, 65 Replies und 7 Votes sind im Kontext eines wertvollen Smartphone-Deals mit erheblicher Ersparnis plausibel und nicht ungewöhnlich.","['replies', 'views', 'votes']"
205,True,"Das Verhältnis von 28 Antworten bei nur 4 Votes ist für einen Deal mit 4300 Views extrem ungewöhnlich. Bei dieser Reichweite und Diskussionsintensität wären deutlich mehr Votes (positiv oder negativ) zu erwarten, was auf eine Anomalie im Engagement-Muster hindeutet.","['replies', 'views', 'votes']"
206,False,"Das hohe Engagement (304 Antworten, 57.029 Aufrufe, 175 Votes) ist für einen Deal mit 56% Ersparnis auf Miele-Staubsaugerzubehör mit kostenlosem HEPA-Filter plausibel. Die Kombination aus starker Marke (Miele), hoher Ersparnis, kostenlosem Zusatzprodukt und der Kennzeichnung als 'HOT!!' rechtfertigt das überdurchschnittliche Interesse in der Home & Garden Kategorie.","['replies', 'views', 'votes']"
207,False,"Das Engagement ist für diesen Kontext plausibel: Eine Sony Soundbar für 399,99$ mit 100$ Rabatt bei Costco (in-store only) erzeugt erwartbares Interesse mit 6232 Views und 24 Antworten. Die leicht negativen Votes (-4) können durch Diskussionen über Preis-Leistung, In-Store-Verfügbarkeit oder Produktpräferenzen erklärt werden und sind im Deal-Forum-Kontext nicht ungewöhnlich.","['replies', 'views', 'votes']"
208,False,"Das Engagement ist für diesen Kontext plausibel: Ein attraktives Sammelangebot von beliebten 4K-Steelbooks (Disney/Pixar/Marvel) zum All-Time-Low-Preis bei einem großen Händler (Best Buy) rechtfertigt 1989 Views, 11 positive Votes und 6 Replies als normales Interesse von Sammlern und Film-Enthusiasten.","['replies', 'views', 'votes']"
209,False,"Das Engagement ist für diesen Kontext plausibel: Ein attraktives Steelbook-Angebot beliebter Franchises (Disney/Pixar/Marvel) zu einem historischen Tiefpreis bei einem bekannten Händler (Best Buy) rechtfertigt 1992 Views, 11 positive Votes und 6 Replies. Dies entspricht dem erwartbaren Interesse von Sammlern und Film-Enthusiasten.","['replies', 'views', 'votes']"
210,False,"Das Engagement ist im Kontext plausibel: Eine 1TB NVMe SSD für ~175 CAD ist kein besonders attraktiver Deal (vergleichsweise teuer), was die negativen Votes (-6) erklärt. Die moderaten Views (1090) und wenigen Replies (6) passen zu einem unattraktiven Tech-Angebot, das Community-Mitglieder als nicht empfehlenswert einstufen.","['replies', 'views', 'votes']"
211,False,"Das hohe Engagement (117 Antworten, 18.721 Aufrufe) bei gleichzeitig negativen Votes (-25) ist für ein teures, kontrovers diskutiertes Medizinprodukt (Laser-Haarwuchskappe für ~790$) plausibel. Solche Produkte lösen oft intensive Diskussionen über Wirksamkeit aus, während viele Nutzer skeptisch gegenüber dem Preis-Leistungs-Verhältnis sind.","['replies', 'views', 'votes']"
212,False,"Ein Bidet-Aufsatz für unter 40 USD bei Costco ist ein attraktives Preis-Leistungs-Angebot im Home & Garden Bereich. Die hohen Views (33.468), viele Replies (164) und positive Votes (87) sind für ein praktisches Haushaltsprodukt zu diesem Preis bei einem beliebten Händler plausibel und im erwartbaren Rahmen.","['replies', 'views', 'votes']"
213,False,"Ein Apparel-Deal mit 70% Rabatt und Classics für $30 ist attraktiv genug, um 1252 Views zu rechtfertigen. Das moderate Engagement (1 Reply, 1 Vote) passt zu einem soliden, aber nicht außergewöhnlichen Sale-Angebot.","['replies', 'views', 'votes']"
214,False,"Ein populäres Star Wars Videospiel für ca. 40€ bei einem großen Händler wie Walmart zeigt mit 2647 Views, 13 Replies und 2 Votes ein plausibles Engagement-Niveau. Das Interesse entspricht einem bekannten Titel zu einem moderaten Preis ohne außergewöhnliche Ersparnis.","['replies', 'views', 'votes']"
215,False,"Das Engagement (1 Reply, 872 Views, 1 Vote) ist für einen regionalen Deal (Ontario-spezifisch) mit Haushaltsgerät und moderater Ersparnis (~35%) plausibel. Die hohen Views bei geringem Interaktions-Engagement deuten auf Interesse ohne starke Kaufmotivation hin, was bei geografisch eingeschränkten Angeboten typisch ist.","['replies', 'views', 'votes']"
216,False,"Das Engagement ist für einen Kindersitz-Deal im mittleren Preissegment mit 70$ Ersparnis plausibel. 4650 Views, 19 Antworten und 4 Votes deuten auf normales Interesse an einem Sicherheitsprodukt für Kinder hin, bei dem Eltern oft Erfahrungen austauschen und Fragen stellen.","['replies', 'views', 'votes']"
217,False,"Ein Finanzprodukt (Sparkonto mit 2,5% Zinsen für 120 Tage) von einer großen Bank (CIBC) zeigt mit 7044 Views, 25 Replies und 10 Votes ein plausibles Engagement-Niveau. Finanzthemen ziehen typischerweise viele interessierte Leser an, während die moderate Anzahl an Kommentaren und Votes für ein Sparkontenangebot im erwartbaren Rahmen liegt.","['replies', 'views', 'votes']"
218,False,"Das Engagement (51 Antworten, 14.499 Aufrufe, 59 Votes) ist für ein RGB Gaming Mouse Pad mit 10$ Ersparnis im Bereich Peripherals & Accessories plausibel. Gaming-Zubehör mit LED-Features und attraktivem Preis-Leistungs-Verhältnis erzeugt typischerweise solides Interesse in der Community, sodass die Werte im erwartbaren Rahmen liegen.","['replies', 'views', 'votes']"
219,False,"Das Engagement (2 Antworten, 719 Aufrufe, 0 Votes) ist für einen lokalen Restaurant-Rabattcode mit eingeschränkter Verfügbarkeit (YMMV - Your Mileage May Vary, Guelph-spezifisch) plausibel. Die moderate Reichweite bei geringem Interaktionsniveau passt zu einem geografisch limitierten Angebot ohne breite Relevanz.","['replies', 'views', 'votes']"
220,False,"Ein Finanzdienstleistungs-Angebot mit $10 Anmeldebonus zeigt mit 2845 Views, 10 Replies und 5 Votes ein plausibles Engagement-Niveau. Die moderate Interaktion passt zu einem typischen Cashback/Signup-Bonus-Deal, der Interesse weckt aber nicht außergewöhnlich viral geht.","['replies', 'views', 'votes']"
221,False,"Ein hochwertiger 65-Zoll-Sony-4K-TV mit 700 Dollar Rabatt plus 100-Dollar-Geschenkkarte bei Costco ist ein sehr attraktives Angebot, das hohes Engagement plausibel erklärt. Die 304 Antworten, 60.246 Aufrufe und 42 positive Votes sind für einen solchen Deal mit starker Ersparnis im Elektronikbereich völlig im erwartbaren Rahmen.","['replies', 'views', 'votes']"
222,True,"Die Anzahl von 836 Antworten ist für einen Deal-Post extrem hoch und steht in auffälligem Missverhältnis zu den 99 Votes, selbst bei 130.126 Views. Während Kreditkarten-Deals durchaus Diskussionen auslösen können, deutet dieses extreme Engagement-Muster (sehr viele Replies bei vergleichsweise moderaten Votes) auf eine ungewöhnliche Interaktionsdynamik hin.","['replies', 'views', 'votes']"
223,True,"Das Verhältnis von 1139 Antworten zu nur 96 Votes bei 167756 Views ist extrem ungewöhnlich. Bei einem attraktiven Kreditkartenangebot mit sehr hoher Reichweite und intensiver Diskussion würde man deutlich mehr Votes erwarten – die Diskussionsintensität (replies/views-Ratio von 0,68%) passt nicht zur sehr niedrigen Vote-Zahl.","['replies', 'views', 'votes']"
224,False,"Das Engagement (14 Antworten, 1764 Aufrufe, -5 Votes) ist für einen Deal mit Cashback-Angebot im Restaurant-Bereich plausibel. Die negativen Votes deuten auf gemischte Resonanz hin, was bei Cashback-Deals mit unklaren Bedingungen oder begrenzter Attraktivität durchaus normal ist, während moderate Diskussion und Aufrufe dem Kontext entsprechen.","['replies', 'views', 'votes']"
225,True,"Bei 2521 Views und 9 Replies würde man normalerweise zumindest einige Votes (positiv oder negativ) erwarten, besonders bei einem attraktiven Rabattangebot ($7 off auf 4 Bestellungen). Null Votes bei diesem Engagement-Level ist im Kontext von Deal-Foren ungewöhnlich und deutet auf eine Anomalie hin.","['replies', 'views', 'votes']"
226,False,"Das Engagement ist für einen Banking-Deal mit 200$ Bonus plausibel: Hohe Views (68628) und viele Replies (282) sind bei Finanzangeboten mit spezifischen Bedingungen ('YMMV', 'EXISTING CUSTOMERS WITH INSIGHT') typisch, da Nutzer Eligibility und Details diskutieren. Die moderaten Votes (50) passen zu einem Deal mit eingeschränkter Zielgruppe.","['replies', 'views', 'votes']"
227,True,"Das Verhältnis von 122 Antworten zu nur 10 Votes bei 38.407 Views ist extrem ungewöhnlich. Bei einem Costco-Kochgeschirr-Deal dieser Reichweite würde man deutlich mehr Votes erwarten, zumal die hohe Anzahl an Antworten auf starkes Engagement hindeutet.","['replies', 'views', 'votes']"
228,False,"Das Engagement (8 Antworten, 2194 Aufrufe, 6 Votes) ist für einen Lebensmittel-Deal mit 57% Rabatt auf Amazon.ca im erwartbaren Rahmen. Die moderate Interaktion passt zu einem Nischenprodukt (Premium Hot Chocolate Mix) mit gutem Rabatt, das Interesse weckt, aber keine außergewöhnliche Reichweite erzielt.","['replies', 'views', 'votes']"
229,True,Das Verhältnis von 2680 Views zu nur 1 Vote und 6 Replies ist für ein Laptop-Angebot mit Buds+ im Wert von ~$1170 deutlich ungewöhnlich. Bei dieser hohen Reichweite und dem attraktiven Bundle-Deal wäre normalerweise deutlich mehr Engagement (mehr Votes) zu erwarten.,"['replies', 'views', 'votes']"
230,False,"Ein günstiger Film-Rental für $0.99 mit 708 Views, 3 Votes und 1 Reply zeigt ein normales, moderates Engagement für ein zeitlich begrenztes digitales Angebot. Das Interesse ist für einen Standardpreis-Deal im Entertainment-Bereich erwartbar und nicht ungewöhnlich.","['replies', 'views', 'votes']"
231,False,"Das Engagement ist für diesen Kontext plausibel: Ein Xbox Live Gold Jahresabonnement zu einem reduzierten Preis mit VPN-Anforderung ist für Gaming-Interessierte relevant und kann Diskussionen auslösen (106 Antworten zu technischen Details, VPN-Nutzung). Die hohen Views (28.231) und positiven Votes (46) passen zu einem attraktiven Gaming-Deal mit breiter Zielgruppe.","['replies', 'views', 'votes']"
232,True,"Das Verhältnis von 45 Antworten bei nur 11 Votes ist extrem ungewöhnlich – normalerweise korrelieren Votes stärker mit der Anzahl der Antworten. Bei 16.310 Views und 45 Replies wären deutlich mehr als 11 Votes zu erwarten, was auf eine Anomalie im Engagement-Muster hindeutet.","['replies', 'views', 'votes']"
233,False,"Die Werte für replies (3), views (2335) und votes (9) sind im Kontext einer reduzierten olympischen Teamkollektion in der Kategorie Apparel plausibel. Das moderate Engagement passt zu einem Nischenprodukt mit begrenzter, aber vorhandener Zielgruppe – hohe Aufrufe bei wenigen, aber positiven Interaktionen sind für solche speziellen Angebote typisch.","['replies', 'views', 'votes']"
234,True,"Die Zeile zeigt mit 46 Antworten und 12.571 Aufrufen ein sehr hohes Engagement für kostenlose Epic Games, aber 0 Votes sind in diesem Kontext extrem ungewöhnlich. Bei solch attraktiven kostenlosen Spielen und deutlich sichtbarem Community-Interesse würde man normalerweise positive (oder zumindest einige) Votes erwarten.","['replies', 'views', 'votes']"
235,True,"Bei 2108 Views und 17 Replies (deutliches Engagement) ist ein Vote-Wert von exakt 0 im Kontext eines Lebensmittel-Deals ungewöhnlich. Normalerweise würde solch aktive Diskussion und Interesse auch in positiven oder negativen Votes resultieren, die Diskrepanz deutet auf eine Anomalie hin.","['replies', 'views', 'votes']"
236,False,"Das Engagement ist für diesen Kontext plausibel: Ein YMMV-Amex-Offer (Your Mileage May Vary) zu Mobilfunkanbietern ist für Kreditkartennutzer relevant und attraktiv genug, um 19 Antworten, knapp 4000 Views und 8 positive Votes zu generieren. Die Werte passen zum Interesse an wiederkehrenden Gutschriften bei einem alltäglichen Ausgabenbereich.","['replies', 'views', 'votes']"
237,False,"Ein E-Bike für $75 ist ein extrem attraktives Angebot, das hohes Interesse (1909 Views) und Diskussionsbedarf (14 Replies) plausibel erklärt. Die neutralen Votes (0) deuten auf gemischte Bewertungen hin, möglicherweise wegen Verfügbarkeit (YMMV) oder Zweifeln an Qualität/Verfügbarkeit, was bei solchen Extremdeals typisch ist.","['replies', 'views', 'votes']"
238,False,"Das Engagement ist für ein Cashback-Event im Apparel-Bereich plausibel: 2791 Views zeigen solides Interesse, 4 Replies und 4 Votes sind für ein generisches 10%-Cashback-Angebot angemessen niedrig, da solche Aktionen häufig vorkommen und weniger Diskussionsbedarf erzeugen als spezifische Produkt-Deals.","['replies', 'views', 'votes']"
239,False,"Das Engagement ist für ein Cashback-Event im Apparel-Bereich plausibel: 2793 Views zeigen solides Interesse, 4 Replies und 4 Votes sind für ein generisches Cashback-Angebot (10% bei Rakuten) angemessen niedrig, da solche Events weniger Diskussionsbedarf erzeugen als spezifische Produktdeals.","['replies', 'views', 'votes']"
240,False,"Ein Adobe Creative Cloud Angebot mit 25% Rabatt ist für die Zielgruppe relevant und erklärt die 2009 Views plausibel. Die 7 Antworten und -3 Votes (leicht negative Bewertung) passen zum Kontext eines Software-Abonnement-Deals, bei dem Nutzer möglicherweise Preisbedenken oder Skepsis bezüglich des Angebots äußern.","['replies', 'views', 'votes']"
241,False,"Ein Banking-Angebot mit 300$ Bonus von einer großen Bank (TD Bank) rechtfertigt plausibel 10.650 Views, 52 Antworten und 14 Votes. Finanzangebote mit substantiellen Boni erzeugen typischerweise hohes Interesse und Diskussionsbedarf zu Bedingungen und Erfahrungen, sodass das Engagement im erwartbaren Rahmen liegt.","['replies', 'views', 'votes']"
242,True,"Die Anzahl der Antworten (93) ist im Verhältnis zu den Votes (17) und dem Kontext (Smart-Home-Sensoren für ~79$, moderate 11% Ersparnis) extrem hoch und ungewöhnlich. Typischerweise würde ein Deal mit über 16.000 Views und 93 Diskussionsbeiträgen deutlich mehr Votes generieren, was auf eine Anomalie im Engagement-Muster hindeutet.","['replies', 'views', 'votes']"
243,False,"Das Engagement ist für diesen Kontext plausibel: Ein Fitness-Equipment-Deal bei Costco für ~260$ kann durchaus kontroverse Meinungen hervorrufen (negative votes), während die moderate Anzahl an Antworten (13) und Views (4304) typisch für Nischen-Sportartikel sind. Die negativen Votes deuten auf geteilte Meinungen zum Preis-Leistungs-Verhältnis hin, was bei Fitnessgeräten häufig vorkommt.","['replies', 'views', 'votes']"
244,False,"Das Engagement ist für diesen Kontext plausibel: Ein stark rabattiertes Markenprodukt (Belkin) mit 77% Ersparnis ($27) von einem bekannten Händler (Microsoft Store) rechtfertigt 47 Antworten, knapp 14.000 Aufrufe und 37 positive Votes. Dies entspricht einem attraktiven Deal mit breitem Interesse.","['replies', 'views', 'votes']"
245,False,"Ein Gaming-Monitor mit moderaten technischen Spezifikationen und geringer Ersparnis ($20) zeigt erwartbares Engagement: moderate Views (2482), wenige Replies (4) und leicht negative Votes (-4) passen zum Kontext eines durchschnittlichen Restocks ohne besondere Attraktivität.","['replies', 'views', 'votes']"
246,True,Das Verhältnis von 345 Antworten zu nur 15 Votes bei 82.977 Views ist extrem ungewöhnlich. Bei einem Banking-Angebot mit so hoher Reichweite und intensiver Diskussion (345 Replies) wäre deutlich mehr Voting-Aktivität zu erwarten – das Engagement-Muster passt nicht zusammen.,"['replies', 'views', 'votes']"
247,True,"Die Anzahl der Views (2081) ist für einen einfachen $1.25 Schlüsselanhänger-Deal bei Dollarama mit YMMV-Verfügbarkeit extrem hoch, während Replies (5) und Votes (4) sehr niedrig bleiben. Dieses Missverhältnis zwischen sehr hoher Aufmerksamkeit und minimalem Engagement ist im Kontext eines Low-Value-Artikels deutlich ungewöhnlich.","['replies', 'views', 'votes']"
248,True,"Eine Atemschutzmaske für 175 USD mit 66 Antworten und fast 8000 Aufrufen, aber exakt 0 Votes ist ungewöhnlich. Bei diesem hohen Engagement-Level (Replies und Views) wäre normalerweise eine deutliche Anzahl an Votes zu erwarten, sei es positiv oder negativ.","['replies', 'views', 'votes']"
249,False,"Das Engagement (13 Antworten, 2662 Aufrufe, 0 Votes) ist für ein Technik-Angebot mit 1TB SSD und 41$ Ersparnis im erwartbaren Rahmen. Die moderate Diskussion und Aufrufe passen zu einem soliden, aber nicht außergewöhnlichen Deal in der Peripherie-Kategorie, während neutrale Votes auf gemischte oder zurückhaltende Bewertung hindeuten.","['replies', 'views', 'votes']"
250,False,"Das Engagement (26 Antworten, 9511 Aufrufe, 30 Votes) ist für einen attraktiven Deal auf eine elektrische Kettensäge mit Preisvorteil durch Price-Match und zusätzlichem Rabatt plausibel. Werkzeug-Deals bei bekannten Händlern wie Home Depot erzeugen typischerweise solides Interesse in der Community, sodass diese Werte im erwartbaren Rahmen liegen.","['replies', 'views', 'votes']"
251,False,"Ein Amiibo-Vorbestellungsangebot bei Best Buy mit 1409 Views, 12 Votes und 1 Reply zeigt ein normales Engagement für Gaming-Merchandise. Die moderate Interaktion passt zu einem Nischenprodukt (Amiibo-Sammler), das Interesse weckt aber keine breite Diskussion erfordert.","['replies', 'views', 'votes']"
252,False,"Star Wars Graphic Novels sind bei Fans beliebt und der Hinweis 'YMMV' (Your Mileage May Vary) deutet auf lokale Verfügbarkeit bei Dollarama hin, was Interesse weckt. 18 Antworten, 8281 Views und 16 positive Votes sind für ein Nischenprodukt mit Sammlerwert in der Entertainment-Kategorie plausibel und im erwartbaren Rahmen.","['replies', 'views', 'votes']"
253,False,"Das Engagement (10 Antworten, 1913 Aufrufe, 4 Votes) ist für ein spezialisiertes Werkzeug-Angebot im Home & Garden Bereich plausibel. Druckluftwerkzeuge sprechen eine Nischengruppe an, die moderate Diskussion und solides Interesse zeigt, was zum Kontext eines Fachhandels-Deals passt.","['replies', 'views', 'votes']"
254,True,"Ein Automotive-Deal mit 8765 Views und 24 Replies, aber exakt 0 Votes ist ungewöhnlich. Bei diesem Engagement-Level wäre normalerweise eine deutliche Anzahl an Votes (positiv oder negativ) zu erwarten, da Nutzer, die sich so aktiv beteiligen, typischerweise auch abstimmen.","['replies', 'views', 'votes']"
255,False,"Das Engagement (18 Antworten, 4646 Aufrufe, 6 Votes) ist für ein hochpreisiges Nischenprodukt (Dampfgerät für $4499) im Home & Garden/Appliances-Bereich plausibel. Solche teuren Spezialgeräte ziehen typischerweise moderate Diskussionen und Views an, während die Votes aufgrund der begrenzten Zielgruppe niedrig bleiben – das beobachtete Muster passt zum Kontext.","['replies', 'views', 'votes']"
256,True,"Ein Powerbank-Angebot mit 36 Antworten und 8337 Aufrufen, aber 0 Votes ist ungewöhnlich. Bei diesem Engagement-Level wäre normalerweise eine deutliche Anzahl an Votes (positiv oder negativ) zu erwarten, da Nutzer, die sich so intensiv beteiligen, typischerweise auch abstimmen.","['replies', 'views', 'votes']"
