original_index,Unnamed: 0,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
284,15,horiah00,2020-06-06T09:17:00,,2020-07-15T21:25:00,,29.73,38,,Home Depot,Home & Garden,"Fiskars Lopper, hedge shear and pruner set $29.73",https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/fiskars-lopper-hedge-shear-and-pruner-set/1001102066,14445,32
285,16,sam_b_d,2020-07-07T15:44:00,,2020-07-15T21:24:00,Computers & Electronics,150.0,63,50.0,Costco,Cell Phones,Motorola Moto G7 Play $150,https://www.costco.ca/motorola-moto-g7-play-unlocked-deep-indigo-smartphone.product.100518468.html,14973,17
286,17,patthan,2020-07-15T20:39:00,,2020-07-15T20:39:00,,186.99,0,,,Home & Garden,ILife A4s Robot Vacuum,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB078RHKKRW%2Fref%3Dcm_sw_r_wa_apa_i_1d6dFbJMSQNPC&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,1245,0
287,18,hoanboy,2020-07-14T11:10:00,,2020-07-15T20:20:00,,1199.0,25,,Princess Auto,Sports & Fitness,350W Electric Fat Bike - $1199,https://www.princessauto.com/en/detail/26-in-electric-bike/A-p8907636e,6408,7
288,19,Capindy,2020-07-11T07:28:00,2020-07-26,2020-07-15T19:59:00,Restaurants,50.0,31,50.0,Domino's Pizza,Restaurants & Bars,Domino's Pizza 50% off (YMMV - Maybe GTA only),,10083,8
289,20,LOLUMIRINBRO,2020-07-15T11:13:00,,2020-07-15T19:29:00,,24.99,11,15.0,Amazon.ca,Computers & Electronics,Logitech M330 Silent Plus Wireless Mouse - $24.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB01JPOLKDW%2Fref%3Dcm_sw_r_cp_apa_i_2YXdFbA54YCDF&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,2779,5
290,21,crystal119911,2020-07-15T15:56:00,,2020-07-15T19:26:00,,99.99,4,90.0,Amazon.ca,Automotive,Aukey DR03 1080p dual dash cam - $99.90 after applying $90 off coupon,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2FAUKEY-Wide-Angle-G-Sensor-Dual-Port-Charger%2Fdp%2FB07FC96SQZ%2Fref%3Dmp_s_a_1_4%3Fdchild%3D1%26keywords%3Daukey%2Bdual%2Bdash%2Bcam%26qid%3D1594842732%26sprefix%3Daukey%2Bdual%26sr%3D8-4&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,1634,1
291,22,RaySmith,2020-07-11T08:32:00,,2020-07-15T18:07:00,Home & Garden,63.74,16,25%,,Appliances,Grosche Milano Stainless Steel Moka Pot 10oz $63.74 OR 2 free glasses,https://mailchi.mp/grosche/coming-soon-up-to-50-off-select-items-263477?e=c229030fc0,6503,11
292,23,tomtomtom,2020-07-15T14:36:00,2020-07-22,2020-07-15T18:05:00,Home & Garden,,6,,The Source,Other,smart light bulbs + plug,http://www.anrdoezrs.net/click-749547-10797598?url=https%3A%2F%2Fwww.thesource.ca%2Fen-ca%2Fsmart-home-household%2Fsmart-home%2Fsmart-lighting%2Fc%2Fscc-11-1-1%3FcategoryCode%3Dscc-11-1-1%26view%3Dgrid%26page%3D0%26sort%3Drelevance&sid=rfdcb,2514,5
293,24,Strafe1,2020-07-14T22:04:00,2020-08-09,2020-07-15T18:01:00,Restaurants,8.99,4,,A & W,Fast Food,Beyond Meat Burger Combo $8.99 + $2 donated to MS Society Of Canada (via A&W online coupons site),https://awcoupon.ca/en,2293,7
294,25,subonja,2020-06-05T13:34:00,2020-06-25,2020-07-15T17:52:00,,39.0,176,,,Computers & Electronics,Google Home - $39.00 on sale again!,http://www.kqzyfj.com/click-749547-11662090?url=https%3A%2F%2Fwww.lowes.ca%2Fproduct%2Fsmart-hubs%2Fgoogle-home-784353&sid=rfdcb,59207,20
295,26,liminalsunset,2020-07-15T12:52:00,,2020-07-15T17:38:00,Computers & Electronics,16.99,11,0.41,Amazon.ca,Peripherals & Accessories,Anker USB C to Lightning Cable [Apple MFi Certified] Powerline II 6ft/3ft,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2FAnker-Lightning-Certified-Powerline-Supports%2Fdp%2FB07H256MBK%2F&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,2593,8
296,27,unimpressive,2020-07-13T16:47:00,2020-07-27,2020-07-15T17:13:00,Restaurants,,55,10.0,Uber Eats,Restaurants & Bars,Get $10 off your order when you try Uber Eats Pickup (Possible YMMV),,10451,33
297,28,Carlosf1,2020-07-15T01:29:00,,2020-07-15T16:51:00,Entertainment,0.0,15,100.0,Amazon.ca,"Books, Music, Movies, Magazines",72 E-Cookbooks now free on Kindle Unlimited Edition by Andrea Silver,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fs%3Fi%3Ddigital-text%26rh%3Dp_27%253AAndrea%2BSilver%26s%3Drelevancerank%26text%3DAndrea%2BSilver%26ref%3Ddp_byline_sr_ebooks_1&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,2470,-5
298,29,absolutcamper,2020-07-14T14:25:00,,2020-07-15T16:31:00,Computers & Electronics,1149.99,11,,Dell,Computers & Tablets/eReaders,Dell G5 SE Ryzen 4600M/RX5600/8GB/FHD $1149 + extra discounts,http://www.jdoqocy.com/click-749547-12105225?url=https%3A%2F%2Fdeals.dell.com%2Fen-ca%2Fproductdetail%2F50at&sid=rfdcb,2907,6
299,0,SohSay,2020-07-14T16:52:00,,2020-07-15T16:18:00,,80.0,41,102.5,rakuten.ca,Groceries,$80 off + $22.5 Rakuten cashback on first order,https://www.rakuten.ca/hellofresh,8002,17
300,1,explorer11,2020-07-13T09:13:00,2020-07-14,2020-07-15T16:16:00,,49.99,36,15.0,Costco,Home & Garden,Nellie's Bulk Laundry Soda 500 Load $49.99,https://www.costco.ca/nellie%e2%80%99s-bulk-laundry-soda-500-load.product.100312419.html,7726,19
301,2,immad01,2020-07-15T09:58:00,,2020-07-15T15:57:00,,,11,,Amazon.ca,Computers & Electronics,"DOD Up to 25% off Sandisk Memory: 128GB Extreme SDXC UHS-I $35, 128GB Extreme microSDXC UHS-I $30 & more",http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fdeal%2Fbaf37f9e%2Fref%3Dgbps_img_s-4_512c_baf37f9e%3FshowVariations%3Dtrue%26smid%3DA3DWYIK6Y9EEQB%26pf_rd_p%3D1977e9ab-0025-4776-b342-9f06b5be512c%26pf_rd_s%3Dslot-4%26pf_rd_t%3D701%26pf_rd_i%3Dgb_main%26pf_rd_m%3DA3DWYIK6Y9EEQB%26pf_rd_r%3D7VSVMRE0DQYTSHQ84Z3A&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,2546,6
302,3,AgentV,2020-07-15T14:08:00,,2020-07-15T15:53:00,Entertainment,0.0,10,0.0,Best Buy,"Books, Music, Movies, Magazines",[Warm] Free Apple News+ For 4 Months [Previous Trial Subscribers Eligible] - US Apple ID Required,http://go.redirectingat.com?id=2927x594702&xs=1&url=https%3A%2F%2Fwww.bestbuy.com%2Fsite%2Ffree-apple-news-for-4-months-new-subscribers-only-digital%2F6419640.p%3FskuId%3D6419640,1340,-2
303,4,markolic,2020-07-11T22:49:00,,2020-07-15T15:31:00,Computers & Electronics,350.0,74,,Amazon.ca,Cell Phones,Nokia 5.3 $349,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2FNOKIA-5-3-Snapdragon-6-55-inches-Unlocked%2Fdp%2FB088K3BBF2%2Fref%3Dsr_1_3%3Fdchild%3D1%26keywords%3Dnokia%2B5.3%26qid%3D1594521933%26sr%3D8-3&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,14181,9
304,5,kbaboolal,2020-07-13T13:18:00,,2020-07-15T15:27:00,,,19,,Esso,Automotive,YMMV Esso Car Washes 50% off on Mondays,,4014,8
305,6,ashwani2k,2020-07-15T11:35:00,,2020-07-15T15:18:00,,33.99,13,,Amazon.ca,Computers & Electronics,$33.99: SanDisk 200GB Ultra Microsdxc UHS-I Memory Card,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB073JY5T7T%2Fref%3Dtwister_dp_update%3F_encoding%3DUTF8%26th%3D1&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,3619,6
306,7,LeifS39303,2020-07-10T22:36:00,2020-07-26,2020-07-15T14:46:00,Computers & Electronics,724.99,78,225.0,Best Buy Mobile,Cell Phones,HOT! Open Box Samsung Galaxy Note 10/10+ $725 and $875!!!,,21842,6
307,8,FrontlineWorker6,2020-07-15T14:07:00,2020-07-16,2020-07-15T14:16:00,Computers & Electronics,647.0,2,,2001 Audio Video,Home Theatre & Audio,"Hisense 65"" 4K Ultra HD $647 2 Year Warranty Sold by 2001 Audio Video",https://flipp.app.link/aGurESLa97,869,-1
308,9,Strafe1,2020-07-15T14:12:00,2020-07-21,2020-07-15T14:12:00,,1.97,0,1.5,Giant Tiger,Home & Garden,Mr. Clean Magic Eraser $1.97 - 2 Pack -ON YMMV,https://www.gianttiger.com/category/eflyer.do,643,1
309,10,overboost,2020-07-12T17:24:00,,2020-07-15T14:06:00,,8.99,41,,Costco,Groceries,GTA - Beef brisket $8.99/kg AAA,,10012,9
310,11,ashwani2k,2020-07-15T11:33:00,,2020-07-15T13:56:00,,29.99,11,,Amazon.ca,Computers & Electronics,$29.99: SanDisk 128GB Extreme microSDXC UHS-I Memory Card with Adapter,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB07FCMKK5X%2Fref%3Dtwister_B07H15JFM6%3F_encoding%3DUTF8%26psc%3D1&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,1650,-7
311,12,cluie29,2020-07-13T12:49:00,,2020-07-15T13:36:00,,59.99,33,20.0,Amazon.ca,Computers & Electronics,Anker Soundcore Life P2 True Wireless Earbuds $59.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB07SJR6HL3%3F&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,4977,2
312,13,awais,2020-07-14T11:55:00,,2020-07-15T13:23:00,Computers & Electronics,25.19,7,,Amazon.ca,Peripherals & Accessories,SoundPeats Q12 Bluetooth Earbuds - $25,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB0819R975Q&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,2146,-2
313,14,Blubbs,2020-07-12T12:13:00,,2020-07-15T13:01:00,Computers & Electronics,387.0,38,,Best Buy,Peripherals & Accessories,"Asus 28"" 4k IPS with full ergonomic stand open box $366",https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/asus-28-4k-ultra-hd-5ms-gtg-ips-lcd-freesync-gaming-monitor-vg289q-black-open-box/14597558?icmp=Recos_1across_pn_bx,10788,6
314,15,Cheapo-Findo,2020-07-15T12:38:00,2020-07-21,2020-07-15T13:00:00,,3.99,2,,,Restaurants,Ginos Pizza College St Toronto - $3.99 Medium 3 topping (First one gets it),https://ginospizza.ca/,923,-14
315,16,ryansluman,2020-05-12T23:03:00,2021-01-01,2020-07-15T12:56:00,,,262,50.0,,Financial Services,Get $50 when you send your first $100 global money transfer abroad,,43459,22
316,17,baconape,2020-07-10T08:38:00,2020-07-13,2020-07-15T12:50:00,Computers & Electronics,5.99,52,80,Microsoft Store,Video Games,Xbox One Grand Theft Auto V: Premium Edition $5.99 (Targeted YMMV),http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&mid=36509&murl=https%3A%2F%2Fwww.microsoft.com%2Fen-ca%2Fp%2Fgrand-theft-auto-v-premium-edition%2Fc496clvxmjp8%3Factivetab%3Dpivot%3Aoverviewtab&u1=rfdcb,9206,9
317,18,NuF518600,2020-07-14T15:59:00,2020-07-16,2020-07-15T12:47:00,Home & Garden,153.9,9,,Best Buy,Home Improvement & Tools,Airthings Corentium Radon meter 153.9$,https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/airthings-corentium-radon-gas-monitor/10757507,2549,8
318,19,CostcoIsBestco,2020-06-12T12:22:00,,2020-07-15T12:38:00,,,338,60.0,Costco,Groceries,$60 Off $100+ Purchase Online Voucher New Memberships Only,,90542,130
319,20,Daijoubu,2020-07-15T11:22:00,,2020-07-15T12:23:00,Entertainment,30.0,1,0.42,Amazon.ca,"Books, Music, Movies, Magazines",[WARM] $30 Mission: Impossible 6 Movie Collection [Blu-ray],http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB07G1SMW16&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,657,1
320,21,SamG852,2020-07-15T11:06:00,2020-07-17,2020-07-15T12:01:00,Entertainment,0.0,1,100.0,Amazon.ca,"Books, Music, Movies, Magazines",popsicle cookbook free e-book digital only,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2FPopsicle-Cookbook-Recipes-Delicious-Desserts-ebook%2Fdp%2FB01FYFXPZC%2Fref%3Dpd_rhf_se_s_wsixn__0_2%2F134-2494896-8321802%3F_encoding%3DUTF8%26pd_rd_i%3DB01FYFXPZC%26pd_rd_r%3Df16cd830-2a57-42e4-9bbe-19de8337f227%26pd_rd_w%3D7SrSP%26pd_rd_wg%3DjlH9G%26pf_rd_p%3Dd10c183e-0006-412c-b5ed-47afbcfbb1d8%26pf_rd_r%3DXTAJM3QKPZBM54B3C4D2%26psc%3D1%26refRID%3DXTAJM3QKPZBM54B3C4D2&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,929,11
321,22,roccerfeller,2020-07-08T16:32:00,2020-07-23,2020-07-15T11:36:00,Computers & Electronics,3.99,14,90% off,,Video Games,PSN Far Cry for PS4 prices - 3.99 to 19.99,https://store.playstation.com/en-ca/product/UP0001-CUSA10357_00-FARCRY3REMASTER0,4723,13
322,23,toyorav4me,2020-07-15T08:18:00,2020-07-15,2020-07-15T11:05:00,,,13,,Amazon.ca,Computers & Electronics,Up to 25% off Sandisk Memory,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fdeal%2Fbaf37f9e%2Fref%3Dgbps_tit_s-4_512c_baf37f9e%3FshowVariations%3Dtrue%26smid%3DA3DWYIK6Y9EEQB%26pf_rd_p%3D1977e9ab-0025-4776-b342-9f06b5be512c%26pf_rd_s%3Dslot-4%26pf_rd_t%3D701%26pf_rd_i%3Dgb_main%26pf_rd_m%3DA3DWYIK6Y9EEQB%26pf_rd_r%3DH69YH8XSQNGKYRFN51P6&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,1721,5
323,24,taylur,2020-07-02T19:50:00,,2020-07-15T10:49:00,,199.98,46,40% off,Sport Chek,Sports & Fitness,Marmot Catalyst 3 Person Tent with Footprint ($199.98),http://www.pntrac.com/t/8-8297-58025-56718?url=https%3A%2F%2Fwww.sportchek.ca%2Fcategories%2Fshop-by-sport%2Fcamping-equipment%2Ftents%2Fproduct%2Fmarmot-catalyst-3-person-tent-with-footprint-331998093.html%23331998093%3D331998110&website=133845&sid=rfdcb,12076,15
324,25,juldum,2020-06-03T19:00:00,2020-06-05,2020-07-15T10:35:00,,463.67,120,,Dell,Computers & Electronics,"UltraSharp 27"" 1440p 60 Hz USB-C IPS Monitor (U2719DC) 463$",http://www.dpbolvw.net/click-749547-12105225?url=https%3A%2F%2Fwww.dell.com%2Fen-ca%2Fshop%2Fdell-ultrasharp-27-usb-c-monitor-u2719dc%2Fapd%2F210-arcz%2Fmonitors-monitor-accessories&sid=rfdcb,28596,13
325,26,naryn40,2020-06-26T00:52:00,,2020-07-15T10:33:00,Computers & Electronics,379.99,49,,Amazon.ca,Peripherals & Accessories,"Samsung UR55 28"" 4k Monitor $379.99",http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2FSamsung-LU28R550UQNXZA-inch-Monitor-Picture%2Fdp%2FB084V9CJB1%2Fref%3Dsr_1_2%3Fdchild%3D1%26keywords%3DSamsung%2BUR55%2B28%2522%2B4k%2BMonitor%26qid%3D1593184693%26sr%3D8-2&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,15624,14
326,27,harold_callahan,2020-07-15T09:09:00,,2020-07-15T10:10:00,Computers & Electronics,106.0,4,23,Amazon.ca,Peripherals & Accessories,Samsung Galaxy Buds - Black | 23% Off | $106,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB07NPSJ25M&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,1782,7
327,28,Jackji,2020-07-12T19:09:00,,2020-07-15T10:05:00,Computers & Electronics,419.99,54,,Canadian Tire,Televisions,"Sharp 4K Roku Smart TV, 58-in - 419.99",https://www.canadiantire.ca/en/pdp/sharp-4k-roku-smart-tv-58-in-3995885p.html#srp,9635,4
328,29,6060842,2020-07-15T08:20:00,,2020-07-15T08:20:00,,0.5,0,,Foodbasics,,"50 cent Mangoes ! GTA , Kitchener, London",,554,0
329,0,slammergu,2020-07-04T09:04:00,,2020-07-15T07:47:00,Home & Garden,399.0,56,,Home Depot,Home Improvement & Tools,Free tools with Milwaukee Tool M18 18V HIGH OUTPUT Starter Kit $399,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/1001536825,14379,10
330,1,miisaka,2020-05-23T19:43:00,,2020-07-15T05:38:00,,,69,0.5,,Apparel,Mackage Outerwear 50% off,https://www.fadedsoul.com/discount-designer-clothes-sale?dir=asc&manufacturer=781&order=name&ct=t(EMAIL_CAMPAIGN_5_6_2020_16_9)&mc_cid=5195f63811&mc_eid=130aa4fe6a,27967,16
331,2,rb,2020-07-08T10:08:00,2020-07-20,2020-07-15T04:24:00,Restaurants,0.0,25,,,Fast Food,Free mama burger A&W app ymmv,,6540,4
332,3,immad01,2020-07-14T10:21:00,,2020-07-15T01:29:00,,67.99,1,,Amazon.ca,Computers & Electronics,"Silicon Power 512GB SSD 3D NAND TLC A58 Performance Boost SATA III 2.5"" 7mm (0.28"") Internal SSD for $67.99",http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2FSilicon-Power-A58-Performance-Internal%2Fdp%2FB07LG1PJMH%2F&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,2167,3
333,4,officer416,2020-07-01T00:26:00,,2020-07-15T01:00:00,Computers & Electronics,1169.0,56,,Dell,Computers & Tablets/eReaders,Cyber Savings Event Alienware Monitor AW3420DW $1169,http://go.redirectingat.com?id=2927x594702&xs=1&url=https%3A%2F%2Fwww.dell.com%2Fen-ca,20305,2
334,5,Strychinine,2020-07-11T23:26:00,,2020-07-15T00:36:00,Computers & Electronics,25.99,5,48,Amazon.ca,Peripherals & Accessories,"$25.99 AUKEY 10000mAh Power Bank, 18W USB-C Portable Charger",http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2FAUKEY-10000mAh-Portable-Delivery-Nintendo%2Fdp%2FB07B2W35NH%2Fref%3Dsr_1_5%3Fdchild%3D1%26keywords%3Daukey%2Bpower%2Bbank%26qid%3D1594524078%26sr%3D8-5&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,4097,-4
335,6,wearysky,2020-05-07T11:52:00,,2020-07-15T00:27:00,,,408,,,Groceries,Brewery Delivery/Pickup Deals (ON),,78629,107
336,7,Messerschmitt,2020-05-26T18:58:00,2020-09-30,2020-07-15T00:18:00,Financial Services,0.0,388,75.0,CIBC,Banking & Investing,CIBC Global Money Transfer. Now $75 bonus,,71727,56
337,8,ragin_pyro,2020-07-06T22:59:00,2020-07-13,2020-07-14T23:48:00,,,172,10-25% off,Sport Chek,Sports & Fitness,Sport Chek and Atmosphere: Friends and Family event 10-25% off,http://www.pjatr.com/t/8-8297-58025-56718?url=https%3A%2F%2Fwww.sportchek.ca%2Fcampaigns%2Ffriends-and-family.html&website=133845&sid=rfdcb,51180,43
338,9,kevinkuo,2020-07-10T11:03:00,,2020-07-14T23:42:00,,19.99,18,33.0,Newegg,Computers & Electronics,SanDisk 64GB High Endurance microSDXC $19.99 (+ Shipping),http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&mid=44589&murl=https%3A%2F%2Fwww.newegg.ca%2Fsandisk-64gb-microsdxc%2Fp%2FN82E16820173221&u1=rfdcb,4974,-6
339,10,sprung,2020-07-14T23:03:00,,2020-07-14T23:42:00,Automotive,110.49,2,,Amazon.ca,Auto Parts & Accessories,Amazon - $110.49 AWESAFE Mirror Dash Cam 12 Inch Full Touch Screen. Dual 1080P,http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2FAWESAFE-Mirror-Screen-Backup-Rearview%2Fdp%2FB081CSW77H&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,1659,-2
340,11,tseivan,2020-07-14T20:17:00,2020-07-16,2020-07-14T23:00:00,Computers & Electronics,499.0,9,200.0,Best Buy,Televisions,"Toshiba 55"" 4K UHD HDR LED Smart TV (55LF621C21) - Fire TV Edition $499",https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/toshiba-55-4k-uhd-hdr-led-smart-tv-55lf621c21-fire-tv-edition-only-at-best-buy/14422159,2170,0
341,12,Polymertank,2020-07-08T19:31:00,,2020-07-14T22:53:00,,1491.0,73,0.5,Home Depot,Home & Garden,Weber summit S470 natural gas BBQ 50% off,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/weber-summit-s-470-4-burner-nat,25148,4
342,13,tonershop,2020-06-17T15:09:00,,2020-07-14T22:39:00,Computers & Electronics,559.0,328,68.0,Lenovo Canada,Computers & Tablets/eReaders,"Lenovo Nano Desktop: i5-8265U, 8GB, 512GB SSD, Win 10 Pro $559 - 8% rebate",http://lenovo.evyy.net/c/341376/225728/3899?u=https%3A%2F%2Fwww.lenovo.com%2Fca%2Fen%2Fdesktops-and-all-in-ones%2Fthinkcentre%2Fm-nano-series%2FThinkCentre-M90n-1%2Fp%2F11TC1MNM93N,87989,90
343,14,essjayess,2020-07-03T20:04:00,,2020-07-14T22:35:00,,7.92,51,,Amazon.ca,Groceries,"La Grille Montreal Steak Spice Seasoning, 825g, $7.92",http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2FGrille-Grilling-Montreal-Steak-Seasoning%2Fdp%2FB00HEFA900%2Fref%3Dsr_1_5%3Fdchild%3D1%26keywords%3DLa%2BGrille%2BMontreal%2BSteak%2BSpice%2BSeasoning%26qid%3D1594299427%26sr%3D8-5&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,14430,39
344,15,zaibii786,2020-07-09T10:55:00,2020-07-10,2020-07-14T22:30:00,,2.48,52,,,Groceries,"Cavendish FlavorCrisp $2.48 - 3,000 PC Points",,17671,0
345,16,CauseBurn,2020-06-28T21:04:00,,2020-07-14T22:27:00,Entertainment,30.99,29,43% Off,Amazon.ca,"Books, Music, Movies, Magazines",The Art of the Last of Us Part II Hardcover ($53.99 - 43% = $30.99),http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2F1506713769&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,10965,0
346,17,all3nb,2020-07-12T20:28:00,,2020-07-14T22:21:00,,19.99,33,80-90%,,Apparel,Oakley Cycling Jerseys and Bibs,https://www.svpsports.ca/products/mensapparel-tshirts-4341446b2?_pos=15&_sid=b1a2e3d09&_ss=r,9978,34
347,18,Guy In A Bucket,2020-07-08T10:36:00,,2020-07-14T22:17:00,Computers & Electronics,279.99,34,,Amazon.ca,Cameras,Anker eufyCam Wireless 2-Camera Security System $279.99 (Reg. $400),http://www.amazon.ca/gp/redirect.html?ie=UTF8&location=https%3A%2F%2Fwww.amazon.ca%2FeufyCam-Wireless-Security-Compatibility-Weatherproof%2Fdp%2FB07W1HKYQK&tag=redflagdealsc-20&linkCode=ur2&camp=15121&creative=330641,8357,3
348,19,Diafel,2020-07-12T04:19:00,,2020-07-14T22:16:00,Computers & Electronics,299.99,45,,eBay.ca,Computers & Tablets/eReaders,Asus GTX 1660 Super - $299.99,http://rover.ebay.com/rover/1/706-53473-19255-0/1?type=4&campid=5335823041&toolid=10001&customid=&mpre=https%3A%2F%2Fwww.ebay.ca%2Fitm%2F174124759870,7997,0
349,20,Inter01fan,2020-06-01T10:25:00,,2020-07-14T22:11:00,Computers & Electronics,597.0,235,,Costco,Televisions,Hisense Q7G 55'' 4K ULED TV $597 w/ FS,https://www.costco.ca/hisense-55-in.-4k-uled-android-smart-tv-55q7g.product.100653398.html,51261,15
350,21,saurez7777,2020-07-13T11:13:00,,2020-07-14T21:51:00,,,1,,Home Depot,Home & Garden,Rakuten 5% cash back,https://www.rakuten.ca/home-depot-canada,2008,15
351,22,mandm1209,2020-07-14T21:41:00,,2020-07-14T21:45:00,Office Supplies,4.0,1,,Dollarama,Other,Papermate Mechanical Pencils 24ct,,1583,0
352,23,JRGUINNESS,2020-05-20T19:03:00,,2020-07-14T21:38:00,Financial Services,,56,,TD First Class Visa Infinite,Credit Cards,Free $50 Gift Card for TD First Class Travel Visa Infinite Card Holders,,17536,5
353,24,cheapshopper,2020-07-10T18:47:00,2020-07-23,2020-07-14T21:32:00,,,26,100.0,,Groceries,[YMMV] Get 50 Bonus AirMiles when you buy almost anything in-store,https://getmyoffers.ca/#/,3772,7
354,25,Krime1k,2020-07-14T00:25:00,,2020-07-14T21:30:00,Kids & Babies,27.86,2,,Walmart,Toys & Games,LEGO Classic Medium Creative Brick Box 10696 - $27.86,http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&mid=36751&murl=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2Flego-classic-medium-creative-brick-box-10696-building-toy%2F6000190449108%3Fcmpid%3Dsem_google_en_pla_none_1075009830_54173645458_None%26gclsrc%3Daw.ds%26%26gclid%3DEAIaIQobChMI5qviq_LL6gIVysDACh0ZSQezEAQYASABEgLm2_D_BwE&u1=rfdcb,2752,7
355,26,Scott M.,2020-07-08T21:50:00,,2020-07-14T21:05:00,Computers & Electronics,243.13,13,0.33,,Cell Phones,Ticwatch Pro 2020 for 33% off (now 243.13 all-in)... or cheaper?,https://www.mobvoi.com/ca/products/ticwatchpro2020,4685,0
356,27,Keenoz,2020-07-13T06:18:00,2020-07-20,2020-07-14T21:05:00,Computers & Electronics,11.99,47,80-85%,Uplay/Steam,Video Games,[Uplay/Steam] Far Cry 5 (11.99$) - Far Cry 4 (7.99$) - Far Cry 3 (3.90$),http://go.redirectingat.com?id=2927x594702&xs=1&url=https%3A%2F%2Fstore.ubi.com%2Fca%2Fhome%3Flang%3Den,6577,17
